p2,score
ALOX12B,10.742742742742742
ALOX15,18.470470470470467
ALOX15B,7.236236236236236
ALOX5,32.47247247247247
ALOX5AP,27.552552552552548
ALOXE3,10.504504504504503
ALPI,18.636636636636634
ALPK1,3.4094094094094087
ALPK2,6.638638638638637
ALPK3,9.981981981981981
ALPL,27.42442442442442
ALPP,17.348348348348345
ALPPL2,16.24124124124124
ALS2,39.863863863863855
ALS2CL,13.522522522522522
ALS2CR11,4.253253253253253
ALS2CR12,4.316316316316316
ALX1,18.228228228228225
ALX3,22.200200200200197
ALX4,22.082082082082078
ALYREF,73.55355355355354
AMACR,24.660660660660657
AMBN,10.939939939939938
AMBP,43.16416416416416
AMBRA1,39.469469469469466
AMD1,23.983983983983983
AMDHD1,11.354354354354353
AMDHD2,12.136136136136134
AMELX,13.163163163163162
AMER1,14.752752752752752
AMER2,23.201201201201197
AMER3,12.013013013013012
AMFR,37.99399399399399
AMH,26.08408408408408
AMHR2,21.11511511511511
AMICA1,10.216216216216216
AMIGO1,5.597597597597597
AMIGO2,10.15215215215215
AMIGO3,2.054054054054054
AMMECR1,15.289289289289286
AMMECR1L,8.316316316316316
AMN,7.480480480480479
AMN1,12.219219219219218
AMOT,31.509509509509506
AMOTL1,15.020020020020018
AMOTL2,16.868868868868866
AMPD1,24.78478478478478
AMPD2,26.293293293293292
AMPD3,25.162162162162158
AMPH,56.50050050050049
AMT,23.466466466466464
AMTN,6.848848848848848
AMY1A,13.186186186186184
AMY1B,15.595595595595594
AMY1C,13.301301301301299
AMY2A,18.89389389389389
AMY2B,15.12212212212212
AMZ1,3.5375375375375366
AMZ2,4.543543543543543
ANAPC1,40.79379379379379
ANAPC10,34.29229229229229
ANAPC11,33.63563563563563
ANAPC13,14.497497497497497
ANAPC15,10.747747747747747
ANAPC16,15.438438438438437
ANAPC2,31.787787787787785
ANAPC4,31.199199199199196
ANAPC5,30.72372372372372
ANAPC7,25.757757757757755
ANG,30.938938938938936
ANGEL1,11.365365365365365
ANGEL2,11.563563563563562
ANGPT1,29.460460460460457
ANGPT2,24.255255255255253
ANGPT4,8.134134134134133
ANGPTL1,9.082082082082081
ANGPTL2,15.328328328328325
ANGPTL3,24.636636636636634
ANGPTL4,33.324324324324316
ANGPTL5,7.290290290290289
ANGPTL6,6.6756756756756745
ANGPTL7,12.118118118118115
ANHX,1.0100100100100098
ANK1,45.35735735735735
ANK2,74.01901901901901
ANK3,59.942942942942935
ANKAR,9.02302302302302
ANKDD1A,16.451451451451447
ANKDD1B,10.774774774774773
ANKEF1,12.59159159159159
ANKFN1,7.245245245245244
ANKFY1,24.51551551551551
ANKH,11.668668668668667
ANKHD1,26.971971971971968
ANKHD1-EIF4EBP3,19.95595595595595
ANKIB1,18.754754754754753
ANKK1,19.668668668668666
ANKLE1,17.175175175175173
ANKLE2,12.139139139139138
ANKMY1,3.7097097097097094
ANKMY2,11.665665665665664
ANKRA2,20.078078078078075
ANKRD1,39.687687687687685
ANKRD10,19.454454454454453
ANKRD11,17.49249249249249
ANKRD12,12.378378378378377
ANKRD13A,6.909909909909909
ANKRD13B,3.676676676676676
ANKRD13C,7.34034034034034
ANKRD13D,5.443443443443443
ANKRD16,11.101101101101099
ANKRD17,31.022022022022014
ANKRD18A,9.629629629629626
ANKRD18B,7.988988988988987
ANKRD2,22.26526526526526
ANKRD20A1,7.77177177177177
ANKRD20A2,7.4604604604604585
ANKRD20A3,6.949949949949948
ANKRD20A4,8.09209209209209
ANKRD22,22.389389389389386
ANKRD23,17.429429429429426
ANKRD24,16.485485485485484
ANKRD26,15.909909909909908
ANKRD27,21.728728728728726
ANKRD28,28.56356356356356
ANKRD29,22.112112112112108
ANKRD30A,8.747747747747745
ANKRD30B,6.584584584584583
ANKRD30BL,11.129129129129126
ANKRD31,5.212212212212211
ANKRD32,42.83583583583583
ANKRD33,2.7537537537537533
ANKRD33B,0.8028028028028027
ANKRD34A,7.9389389389389375
ANKRD34B,3.147147147147147
ANKRD34C,13.274274274274271
ANKRD35,6.84184184184184
ANKRD36,11.035035035035031
ANKRD36B,9.930930930930929
ANKRD36C,12.339339339339336
ANKRD37,19.590590590590587
ANKRD39,9.780780780780779
ANKRD40,22.860860860860857
ANKRD42,23.81681681681681
ANKRD44,31.739739739739733
ANKRD45,55.99899899899899
ANKRD46,14.880880880880879
ANKRD49,15.305305305305302
ANKRD50,23.47547547547547
ANKRD52,26.820820820820817
ANKRD53,10.89189189189189
ANKRD54,15.181181181181179
ANKRD55,21.489489489489486
ANKRD6,27.460460460460457
ANKRD60,13.258258258258255
ANKRD61,8.219219219219216
ANKRD62,6.284284284284283
ANKRD63,6.219219219219218
ANKRD65,10.09209209209209
ANKRD66,8.867867867867867
ANKRD7,15.887887887887885
ANKRD9,11.964964964964963
ANKS1A,21.470470470470467
ANKS1B,36.73173173173173
ANKS3,12.04304304304304
ANKS4B,12.883883883883883
ANKS6,21.26726726726726
ANKUB1,3.123123123123123
ANKZF1,17.54854854854855
ANLN,85.001001001001
ANO1,20.117117117117115
ANO10,8.333333333333332
ANO2,15.245245245245243
ANO3,23.291291291291287
ANO4,10.75175175175175
ANO5,15.149149149149148
ANO6,11.434434434434433
ANO7,10.625625625625625
ANO8,7.598598598598597
ANO9,7.46146146146146
ANP32A,31.8048048048048
ANP32B,25.938938938938936
ANP32D,10.363363363363362
ANP32E,29.04504504504504
ANPEP,45.088088088088085
ANTXR1,18.54454454454454
ANTXR2,14.364364364364363
ANTXRL,4.077077077077076
ANXA1,51.37837837837837
ANXA10,18.207207207207205
ANXA11,25.91491491491491
ANXA13,19.436436436436434
ANXA2,52.968968968968966
ANXA2R,1.6076076076076073
ANXA3,24.308308308308305
ANXA4,25.805805805805804
ANXA5,82.58058058058057
ANXA6,27.760760760760757
ANXA7,29.626626626626624
ANXA8,31.419419419419416
ANXA8L1,14.634634634634633
ANXA9,17.35235235235235
AOAH,22.146146146146144
AOC1,13.076076076076076
AOC2,4.652652652652653
AOC3,22.723723723723722
AOX1,34.13713713713713
AP1AR,7.106106106106106
AP1B1,40.407407407407405
AP1G1,47.75475475475475
AP1G2,26.965965965965964
AP1M1,36.869869869869866
AP1M2,31.586586586586584
AP1S1,32.98398398398398
AP1S2,31.738738738738736
AP1S3,20.656656656656654
AP2A1,55.328328328328325
AP2A2,52.01701701701701
AP2B1,53.429429429429426
AP2M1,69.64664664664663
AP2S1,40.11211211211211
AP3B1,52.11711711711711
AP3B2,41.23123123123123
AP3D1,40.83283283283283
AP3M1,27.428428428428425
AP3M2,21.02902902902903
AP3S1,26.945945945945944
AP3S2,20.159159159159156
AP4B1,33.93493493493493
AP4E1,42.966966966966964
AP4M1,30.63163163163163
AP4S1,19.518518518518515
AP5B1,14.371371371371369
AP5M1,23.193193193193192
AP5S1,6.926926926926926
AP5Z1,16.64264264264264
APAF1,56.81281281281281
APBA1,32.87087087087087
APBA2,26.341341341341337
APBA3,10.834834834834833
APBB1,28.685685685685684
APBB1IP,30.619619619619616
APBB2,12.765765765765764
APBB3,10.019019019019018
APC,44.147147147147145
APC2,33.11111111111111
APCDD1,3.496496496496496
APCDD1L,5.0890890890890885
APCS,20.858858858858856
APEH,23.561561561561557
APELA,0.8198198198198197
APEX1,51.981981981981974
APEX2,28.612612612612608
APH1A,12.495495495495494
APH1B,9.750750750750749
API5,30.572572572572568
APIP,15.796796796796794
APITD1,20.31131131131131
APLF,13.891891891891891
APLN,8.676676676676674
APLNR,19.514514514514513
APLP1,42.59359359359359
APLP2,27.469469469469466
APMAP,29.769769769769766
APOA1,66.35235235235236
APOA1BP,17.907907907907905
APOA2,31.01301301301301
APOA4,45.68368368368368
APOA5,30.890890890890887
APOB,71.76076076076076
APOBEC1,13.415415415415413
APOBEC2,14.471471471471471
APOBEC3A,20.6026026026026
APOBEC3B,23.636636636636634
APOBEC3C,18.517517517517515
APOBEC3D,17.267267267267265
APOBEC3F,17.807807807807805
APOBEC3G,34.68168168168168
APOBEC3H,3.446446446446446
APOBEC4,4.674674674674674
APOBR,22.31231231231231
APOC1,22.575575575575574
APOC2,22.019019019019016
APOC3,34.53453453453453
APOC4,15.400400400400398
APOD,31.142142142142138
APOE,87.25625625625625
APOF,15.367367367367367
APOH,32.48248248248248
APOL1,20.786786786786784
APOL2,10.269269269269268
APOL3,15.39139139139139
APOL4,6.205205205205204
APOL5,2.103103103103103
APOL6,8.401401401401401
APOLD1,7.7157157157157155
APOM,19.66266266266266
APOO,29.005005005005003
APOOL,24.655655655655654
APOPT1,6.334334334334334
APP,122.15015015015014
APPBP2,28.1031031031031
APPL1,34.81981981981981
APPL2,15.67267267267267
APRG1,2.328328328328328
APRT,51.165165165165156
APTX,27.732732732732728
AQP1,35.085085085085076
AQP10,12.819819819819818
AQP11,7.573573573573573
AQP12A,2.0410410410410407
AQP12B,1.2902902902902904
AQP2,23.735735735735734
AQP3,18.794794794794793
AQP4,62.41741741741741
AQP5,15.474474474474471
AQP6,9.14214214214214
AQP7,15.575575575575574
AQP8,16.303303303303302
AQP9,30.03503503503503
AQPEP,16.528528528528525
AQR,36.367367367367365
AR,89.73473473473473
ARAF,40.01401401401401
ARAP1,21.888888888888886
ARAP2,17.857857857857855
ARAP3,16.268268268268265
ARC,16.695695695695694
ARCN1,45.686686686686684
AREG,37.207207207207205
AREL1,36.71171171171171
ARF1,77.83883883883883
ARF3,53.78078078078077
ARF4,52.022022022022014
ARF5,44.64764764764764
ARF6,73.42942942942942
ARFGAP1,39.03603603603603
ARFGAP2,32.784784784784776
ARFGAP3,32.19419419419419
ARFGEF1,30.680680680680677
ARFGEF2,32.89489489489489
ARFIP1,20.217217217217215
ARFIP2,17.196196196196194
ARFRP1,24.524524524524523
ARG1,42.43143143143143
ARG2,32.905905905905904
ARGFX,3.8958958958958956
ARGLU1,20.806806806806804
ARHGAP1,20.709709709709706
ARHGAP10,13.027027027027026
ARHGAP11A,33.18218218218218
ARHGAP11B,23.130130130130127
ARHGAP12,25.711711711711708
ARHGAP15,33.78578578578578
ARHGAP17,16.96996996996997
ARHGAP18,12.090090090090088
ARHGAP19,16.319319319319316
